author,count
"Scott C. Alexander, PhD",1
"Sophia Pandya, PhD",1
"Thomas Michel, PhD",1
Ori Z. Soltes,1
"David L. Phillips, PhD",1
"Anwar Alam, PhD",1
"Zaman Stanizai, PhD",1
"Talip Aydın, PhD",1
Sage Chen,3
"Greg Barton, PhD",1
Faruk Mercan,1
Rev. Dr. Ian G. Williams,1
Imam Omar Shakir,1
Shaykh Muhammad Fathi Hijazi,1
Ahmed Rehab,1
Ali Gomaa,1
Adam Allison,2
Billy von Raven,1
Ali M. Kahveci,1
Veli Keskin,2
The Rev. Kip Gilts,1
Halim Calis,2
Ashley Kelly,1
Salih Yucel,2
Ali Kurtoglu,1
Adam Sahin,6
M A Mufazzal,1
Vaidehi Bhardwaj,1
Aadil Farook,1
Soner Efe,1
Jan Kaneen,1
Hannah Vuozzo,1
Zeynep Cakmak,1
Hannah Kay,1
Sara Provins,1
Melvin A. Lewis,1
Dr. Huseyin Ozcan,1
Dr. Besir Altun,1
Kadir Demircan,1
Dr. Kenneth Cracknell,1
Mona Maisami,1
Ellen Michelson,1
Furkan Tekin,1
Craig Considine,1
Robert Howe,1
Guner Oz,1
Christy Heitger-Ewing,1
Omer Kuru,1
M. S. Aksoy,2
L.a. Sayyed,1
L. Martin,1
M.f. Sahin,1
Olgun Hasgul,2
Ian Markham,1
Ismail Acar,1
Veli Karabuga,1
Korkut Altay,2
Oleg L. Kuznestov,1
Fatih Kolbay,3
As-safsafi Ahmad Al-qaturi,1
Bruce C. Williams,1
Dr. Kemal Karpat,1
Anatoli Ivanovic Guser,1
Dr. Keith Haynes,1
Dr. Abraham Iron,1
Abis Kekilbayev,1
Soso Tsintsadze,1
Dr. Rastislav B. Ribakov,1
Esen E. Celik,2
Dr. Sezai Sablak,2
Dr. Ahmet Ertugrul,1
Kayley Hollis,1
April Thompson,1
M. A. Sahin,4
Cemil Atilgan,1
Vitaliy Sheremet,2
Yetkin Yildirim,1
Abdullah D. Dogan,1
Yusuf Al- Qaradawi,1
Mehmet Sultan,1
Fatmanur Kilic,1
Fatih Yanik,1
Nurcihan Can,1
Hilal Akman and Areej Qamar,1
Diane Parkes,1
Civan Ozturk,1
Aidan Yielding,1
Bilal Buruk,1
Nihat Balci,1
Yavuz Demirci,1
Caroline Halford,1
Greg Barton,2
Felix Kaiza,4
Chris Wheeler,1
Ibrahim B. Syed,1
Celine Dan Tam Nguyen,1
Sam Plat,2
Mustafa Ismet Uzun,3
Ahmet Eren,1
Serif Dogru,1
Mathew Walles,1
Ruth Sandberg,1
Elizabeth Allen,1
Fatih Bera,1
Alp Serhat Kahveci,1
Nurdin Kaparov,1
Imran Sabir,2
Emrah Altunkaya,1
Ali Demir,1
Dr. Said Guzel,1
Arif Sarsilmaz,1
Abdullah Ozer,1
Ismail Hakki Ozcan,1
Zubeyr Kaya,1
Frank Giesenberg,1
Kemal Atay,1
Mehmet Ates,1
Kubra Eskigun,1
Akif Cesur,1
Earl Carlo Guevarra,3
Binazir Sankibayeva,3
Engin Yigit,3
Muhammet Erkan Kose,1
Mehmet Erdogan,2
Alper Bursali,1
Roberto Colella,1
Namik Sercan,1
Mehmet Kurum,1
Hurisa Guvercin,2
H. Aydin,2
Rahila Bashir,1
Murat Yasar,1
S. Utku Ay,2
Muhsin Toprak,1
Hayriye Cetin Karaca,1
Hakan Coruh,1
Matthew Kelly,1
Ha-Thanh Nguyen,1
Hasan Cucuk,1
Betul Gul,2
Alparslan Zora,3
Anthony J. Ciorra,1
Harun Parpucu,1
Asli Ceren Tahan,1
Volkan Efe,1
Alaeddin Hekim,1
Ahmet Urguplu,1
Sinan Kosak,1
Zainab Anyadike,1
Selcuk Camci,1
Mehmet E. Altin,1
Y. Cerci,1
R. Gulen,1
Dr. M. Pakdemirli,1
Dr. Osman Kucukmehmedoglu,1
Dr. Sedat Yildirim,1
Dr. Kenan Haspolat,1
Rabbi Allen S. Maller,1
Zaakirah Cassim Cachalia,1
Salih Aykac,2
Rabbi Burton L. Visotzky,1
Mustafa Ridvan Donmez,1
Seyma Aslan,1
Daniel Skubik,1
Sean Paquet,1
Osman Demirel,1
Galymzhan Kirbassov,1
Evan Radford,1
C.t. Jeff Yavuz,1
Ibrahim Sel,1
Igor Sulgin,1
Kursat Oz,1
Ayse K. Coskun,2
Taha Abdel Rahman,1
Esref Sami,1
Victor H. Earnest,2
Kinko Ito,1
Eren Tatari - Yamina Mermer,2
Erhan Yenilmez,1
Nebil Mersinli,1
Alpaslan Sahin,1
Dr. Rayna Flye,1
Selim Selimoglu,1
Mehmet Necip Gumushanevi,1
Sally Hannigen,1
Haci Luy,1
Sr. Lilian Curaming,1
Aalia Sohail Khan,2
Adem G. Aydin,1
Zuleyha Keskin,1
Bedirhan Altunay,1
Fethi Keles,1
Joseph J. Salter,1
Selnur Hatice Yerli,1
A. Kose,2
Melih Yalcineli,1
M. Sardar,1
M. Sadat Mahmud,1
Buraq Hadid,1
Omer Serranur,5
Jan McDaniel,1
Sumeyra Koc,1
Haci Kerem,1
"Ghazala Mulla, Sufyan Ahmed Ghawte, Ajma K.T.",1
Nuh Yilmaz,1
David Chamber,1
Tu Hoang,1
Sezai Sadik,1
Adam Penale,1
Madelaine Landry,1
Dilara Guvercin,1
Ted Keene,1
Farid Al-ansari,1
Shirali Kadyrov,1
Muhammad Iqbal,1
Irfan Sahin,1
Rabia Christine Brodbeck,1
Ahmet Isik,2
Muhammed Cetin,3
Hikmet Erturk,1
Charles A. Kimball,1
Ali Tombak,1
Kenan Gundogdu,1
Gulden Esat,1
Dr. Joseph J. Bright,1
H. Ibrahim Hatip,1
Gamze Aras,1
Reza Shah,1
I. Erturk,1
Julie Ann Cunningham,1
Sean William White,1
Abdullah Akpinar,1
Hasan Gul,1
Sevgi Zubeyde Gurbuz,1
Fethiye Ozis,2
Rev. Dr. Pachomius Okogie,2
Rev. Fr. D Cornelius Afebu Omonokhua,1
Ihsan Ali / Ahmet Guclu,1
Ibrahim Ozbek,1
Daniel Adam Kurtz,1
Johnston McMaster,1
Nihal Zeren Dila,1
Huseyin Bingul,2
U. Akyuz,1
Dr. Hikmet A. Topcuoglu,1
Paul Kearns,1
Zainab Cassim Akdemirci,1
April Bollig,1
Timur Ceylan,1
Fulya Celik,1
Bulent Aydogan,1
Seyyidhan Mirza,1
Ilhan Hasgur,1
Zubeyir Altuntas,1
H. Arif Ustaoglu,3
Asli Sancar,1
Kenan Sener,1
Mohamad Abdalla,1
Baris Coskun,1
Tugrul Yanik,1
B. Mumtaz Aydin,1
Omer Ahmet Sarimurat,1
Ahmet Nazif Canoglu,1
Hilmi Celaloglu,1
Abdul-Mumin Abdulai,1
Ertugrul Deniz,1
